"","Ozone","Solar.R","Wind","Temp","Month","Date"
"99",122,255,4,31.7,8,1973-08-07
"100",89,229,10.3,32.2,8,1973-08-08
"101",110,207,8,32.2,8,1973-08-09
"102",NA,222,8.6,33.3,8,1973-08-10
"103",NA,137,11.5,30,8,1973-08-11
"104",44,192,11.5,30,8,1973-08-12
"105",28,273,11.5,27.8,8,1973-08-13
"106",65,157,9.7,26.7,8,1973-08-14
"107",NA,64,11.5,26.1,8,1973-08-15
"108",22,71,10.3,25,8,1973-08-16
"109",59,51,6.3,26.1,8,1973-08-17
"110",23,115,7.4,24.4,8,1973-08-18
"111",31,244,10.9,25.6,8,1973-08-19
"112",44,190,10.3,25.6,8,1973-08-20
"113",21,259,15.5,25,8,1973-08-21
"114",9,36,14.3,22.2,8,1973-08-22
"115",NA,255,12.6,23.9,8,1973-08-23
"116",45,212,9.7,26.1,8,1973-08-24
"117",168,238,3.4,27.2,8,1973-08-25
"118",73,215,8,30,8,1973-08-26
"119",NA,153,5.7,31.1,8,1973-08-27
"120",76,203,9.7,36.1,8,1973-08-28
"121",118,225,2.3,34.4,8,1973-08-29
"122",84,237,6.3,35.6,8,1973-08-30
"123",85,188,6.3,34.4,8,1973-08-31
"124",96,167,6.9,32.8,9,1973-09-01
"125",78,197,5.1,33.3,9,1973-09-02
"126",73,183,2.8,33.9,9,1973-09-03
"127",91,189,4.6,33.9,9,1973-09-04
"128",47,95,7.4,30.6,9,1973-09-05
"129",32,92,15.5,28.9,9,1973-09-06
"130",20,252,10.9,26.7,9,1973-09-07
"131",23,220,10.3,25.6,9,1973-09-08
"132",21,230,10.9,23.9,9,1973-09-09
"133",24,259,9.7,22.8,9,1973-09-10
"134",44,236,14.9,27.2,9,1973-09-11
"135",21,259,15.5,24.4,9,1973-09-12
"136",28,238,6.3,25,9,1973-09-13
"137",9,24,10.9,21.7,9,1973-09-14
"138",13,112,11.5,21.7,9,1973-09-15
"139",46,237,6.9,25.6,9,1973-09-16
"140",18,224,13.8,19.4,9,1973-09-17
"141",13,27,10.3,24.4,9,1973-09-18
"142",24,238,10.3,20,9,1973-09-19
"143",16,201,8,27.8,9,1973-09-20
"144",13,238,12.6,17.8,9,1973-09-21
"145",23,14,9.2,21.7,9,1973-09-22
"146",36,139,10.3,27.2,9,1973-09-23
"147",7,49,10.3,20.6,9,1973-09-24
"148",14,20,16.6,17.2,9,1973-09-25
"149",30,193,6.9,21.1,9,1973-09-26
"150",NA,145,13.2,25,9,1973-09-27
"151",14,191,14.3,23.9,9,1973-09-28
"152",18,131,8,24.4,9,1973-09-29
"153",20,223,11.5,20,9,1973-09-30
